"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAPN14",5.20116931484161,2.78106217420052,0.888823009495337,3.12892684425393,0.00175445982762333,0.0209686957580117
"C2orf92",68.8879317911929,1.9095427432167,0.46314465326907,4.12299425187865,3.73979034421074e-05,0.00147943270157
"FAM237A",4.39177743987748,2.52311436476536,0.80524323463936,3.13335679981884,0.00172819223068653,0.0208006064160641
"KLHL41",20.8123776919903,2.19508437263434,0.544031645868402,4.0348468500035,5.46379236676811e-05,0.00196053533694708
"CD8B2",23.7143118281263,-3.91227874418313,0.609900186899883,-6.41462132364511,1.41173325889498e-10,1.38632206023487e-07
"NBPF12",218.207559196949,2.11126709408788,0.281167846074768,7.50892082278303,5.96167673451178e-14,1.99048462811879e-10
"MCF2L2",752.286989001068,1.61472829083573,0.292456631383883,5.52125723118316,3.3658261242885e-08,1.06017172299759e-05
"ITIH4",4.25198463854128,3.10432007493853,1.1073919230404,2.80327137154429,0.00505870845232556,0.0424585615400316
"IGF2BP2",99.6566301452822,-1.50915209150834,0.517412666217954,-2.91672815538039,0.00353723915037086,0.0333997004390787
"CRYBG3",42.3142343394721,1.87444116672524,0.610014995305085,3.07277883519533,0.00212075600260784,0.0238570759484739
"CLDN16",5.59062667463778,2.04910654755637,0.742723590995399,2.75890866050202,0.00579947422827966,0.0464793196192514
"FRMD4B",216.052664493156,1.51557605420285,0.51471890870539,2.94447324271571,0.00323504917932185,0.0314719761069924
"UPK1B",3.94976302701524,-4.67980128118895,1.66130148075283,-2.81694884125924,0.00484822475329033,0.0411679878084582
"DNAH1",144.293922824012,1.89831422580637,0.470524385399794,4.03446513020449,5.47268160427303e-05,0.00196053533694708
"CPO",13.0809633988299,2.57335263073677,0.815066546020685,3.15723009771458,0.0015927560897682,0.019783831966213
"VWA5B2",989.093028151364,1.79089301692637,0.304392865543156,5.88349209082386,4.01699300329444e-09,2.46205828365992e-06
"CCDC191",63.3337148309935,2.0418844173122,0.473481543170713,4.31248999409467,1.61426190079422e-05,0.00078547512488107
"CLEC3B",79.6523904875964,-2.40745523201051,0.46819293705627,-5.1420152707711,2.71807018311171e-07,4.87908211149106e-05
"MOBP",6799.94417018813,2.12001206505965,0.764512909891774,2.77302323823382,0.00555381545827317,0.0452049708729461
"ZBBX",43.5735727193963,2.23941078944183,0.622243378475545,3.59893068678084,0.0003195283317485,0.00665112963866516
"DNAH12",6.70667882023618,3.64167248344876,0.916194793306294,3.97477971939457,7.04444256255991e-05,0.0023379706588345
"MUC20",76.2346103828293,1.75279610200182,0.43718261476582,4.00929964459066,6.08990990998634e-05,0.0021020120433228
"STX19",4.9400170675847,4.99621413412078,1.04884549088439,4.7635368388798,1.90228862377453e-06,0.000193639062715195
"GATA2",68.6481851141057,-1.59904364715491,0.477469842701318,-3.34899401836191,0.000811055466985223,0.0124905534740326
"PLGLB1",103.378094584297,1.94587595155667,0.582147751957531,3.34258089121442,0.000830031590961791,0.0126659482445303
"FOXL2",27.2992724546267,-1.78716695983874,0.531708187260943,-3.36118006578985,0.000776102110474585,0.0121509385885165
"CFAP91",55.2993976428478,2.5926482734534,0.478283975243653,5.42072995887562,5.93561645814012e-08,1.57284414527288e-05
"KCNH8",100.656701831219,2.65561396566114,0.611543148088455,4.342480124194,1.40883234405537e-05,0.000710545231167985
"LRRIQ4",1.28513133135618,3.76242544213309,1.26338316868325,2.97805569632089,0.00290083266104253,0.0296872387850742
"FSIP2",9.1761993751796,1.81984253473878,0.655767451220185,2.77513397676662,0.00551789715483124,0.0451105656722589
"CRYGS",140.742855364657,1.80185532911905,0.50900727489741,3.53994022871719,0.000400217662899528,0.00772396955427135
"STIMATE-MUSTN1",7.53702319569953,4.38872427523354,0.948135936781053,4.6287922490665,3.6780452433884e-06,0.000303966768777852
"PKD2L2",7.70615193809704,2.31910345781726,0.839327546351444,2.76304938149403,0.00572641021099681,0.0460329173955359
"FAT2",4093.01794482046,3.67136963092066,0.757714905316656,4.84531794895385,1.26409077021836e-06,0.00014258602241909
"SOD3",878.357714553765,-1.79439538995818,0.594832576444745,-3.01663940580238,0.00255593661082639,0.0270226762388446
"LRP2BP",174.620745327673,1.6358168025998,0.338735707367574,4.82918324528663,1.3709420482422e-06,0.000150569122061548
"TLR2",106.941539351677,1.75525691239404,0.546106795028743,3.21412758158713,0.00130841522949099,0.0173768367868915
"ZGRF1",71.2730604222048,2.27153561480075,0.513394915234128,4.42453859085231,9.66486268040875e-06,0.000570124443769412
"SPATA9",11.5463601058581,2.24635244367478,0.694597476457056,3.23403484725108,0.00122054562194341,0.0166197297004269
"ADAMTS19",15.0864334718724,2.54522222516764,0.777945374324212,3.27172358005037,0.00106894031476807,0.0150844375441574
"GLRA1",4.64880760287774,-4.4590765003792,1.15293359321256,-3.86759179074168,0.000109915460025638,0.00321144306583519
"DDX4",2.0540201259389,3.61519576153805,1.13469169261092,3.18605995362449,0.00144224706280956,0.0187222958526771
"NKX6-1",8.91748591773764,-2.11473650188111,0.680088991123166,-3.10949968237043,0.00187404486035752,0.0219238296417719
"PPBP",3.21235675045427,-3.58075662080084,1.21971747328213,-2.93572626385797,0.00332767828261941,0.0320370595444339
"ERAP2",185.669263903502,-2.43337040382466,0.74950208419405,-3.246649282425,0.00116772190001722,0.0160973983475536
"LEAP2",40.676242526309,1.52796679456411,0.417341500912062,3.66119063458794,0.000251045870196387,0.00564458608721284
"SH3TC2",249.633714256458,1.78129073990686,0.589924146776722,3.01952505188952,0.0025317135430848,0.026868675072001
"SLC23A1",9.09308152514071,2.54323522676946,0.904248214746365,2.81254105376677,0.00491517487110618,0.0415370705560481
"PLAC8L1",18.7036044357351,2.05094127144364,0.570800677650219,3.59309536892392,0.000326772920017385,0.00677658028170214
"TLR6",26.9408802390012,1.70239414097578,0.515786696802953,3.30057783872264,0.000964859447634858,0.0140064031467968
"RRH",16.4736192478234,1.93842075980375,0.505260715367347,3.83647629995225,0.000124812234684093,0.0035255760504505
"CNGA1",5.29906263411022,-2.54264623857097,0.886456168200012,-2.86832708686987,0.00412648687247548,0.0368185846334076
"RANBP17",58.4722662588746,1.87774451515916,0.561352850963936,3.34503425418569,0.00082272408771208,0.0125774321614153
"PCDHGC5",58.5941412347679,-2.72054854353588,0.718350013842372,-3.78721861364487,0.000152343055720818,0.00397999213177361
"AMACR",10.0102507595175,1.80328184510704,0.519989367247367,3.46792061278667,0.000524502211390788,0.0092754660137265
"PCDHGA6",65.2720864990088,-1.62422142023903,0.487506808884677,-3.33168971312409,0.000863204419510265,0.0130174657446291
"BAIAP2L1",17.5540330005715,-1.92178498922804,0.644769203206933,-2.98057813504356,0.00287704831694812,0.0295323057672073
